	1	2	3	4	5	6	7	8	9	10	label
1187	8	93	744	11.625	0.261	0.937	1.55	194	697	125	1
1188	8	108	864	13.5	0.293	0.897	1.69	253	775	150	1
1189	7	63	441	9.0	0.333	0.971	1.99	147	428	74	1
1190	11	34	374	3.091	0.364	0.642	2.78	136	240	49	1
1191	8	123	984	15.375	0.255	0.827	1.71	251	814	147	1
1192	6	99	594	16.5	0.301	0.803	1.46	179	477	123	1
1193	5	50	250	10.0	0.36	0.812	1.58	90	203	57	1
1194	5	43	215	8.6	0.265	0.786	1.33	57	169	43	1
1195	5	28	140	5.6	0.329	0.871	1.77	46	122	26	1
1196	9	42	378	4.667	0.384	0.817	2.38	145	309	61	1
1197	10	35	350	3.5	0.331	0.686	1.93	116	240	60	1
1198	8	40	320	5.0	0.463	0.969	2.47	148	310	60	1
1200	13	386	5018	29.692	0.286	0.658	2.19	1437	3301	657	1
1201	9	60	540	6.667	0.413	0.822	2.75	223	444	81	1
1202	12	67	804	5.583	0.35	0.693	2.84	281	557	99	1
1203	9	118	1062	13.111	0.372	0.818	2.41	395	869	164	1
1204	25	115	2875	4.6	0.296	0.65	2.56	851	1868	333	1
1206	9	33	297	3.667	0.33	0.845	1.81	98	251	54	1
1207	8	107	856	13.375	0.384	0.86	2.12	329	736	155	1
1208	7	183	1281	26.143	0.265	0.664	1.88	340	850	181	1
1209	6	39	234	6.5	0.303	0.739	1.58	71	173	45	1
1210	7	115	805	16.429	0.273	0.704	1.72	220	567	128	1
1211	5	88	440	17.6	0.364	0.775	1.67	160	341	96	1
1212	5	27	135	5.4	0.407	0.815	2.12	55	110	26	1
1213	11	337	3707	30.636	0.179	0.648	2.09	664	2402	318	1
1214	7	17	119	2.429	0.454	0.866	3.18	54	103	17	1
1216	22	70	1540	3.182	0.525	0.838	11.54	808	1290	70	1
1217	8	74	592	9.25	0.412	0.845	2.14	244	500	114	1
1218	7	191	1337	27.286	0.307	0.748	1.66	411	1000	247	1
1219	8	68	544	8.5	0.336	0.868	1.91	183	472	96	1
1220	8	69	552	8.625	0.312	0.842	1.91	172	465	90	1
1221	10	127	1270	12.7	0.388	0.798	2.35	493	1014	210	1
1222	9	91	819	10.111	0.233	0.789	1.71	191	646	112	1
1223	10	105	1050	10.5	0.234	0.811	1.7	246	852	145	1
1224	8	61	488	7.625	0.316	0.967	2.03	154	472	76	1
1225	8	127	1016	15.875	0.314	0.825	1.98	319	838	161	1
1226	11	30	330	2.727	0.379	0.739	3.05	125	244	41	1
1227	5	29	145	5.8	0.4	0.89	1.87	58	129	31	1
1228	7	100	700	14.286	0.294	0.633	1.67	206	443	123	1
1229	6	50	300	8.333	0.327	0.777	2.0	98	233	49	1
1230	5	43	215	8.6	0.405	0.981	1.61	87	211	54	1
1231	9	42	378	4.667	0.45	0.905	2.79	170	342	61	1
1232	10	35	350	3.5	0.434	0.803	2.34	152	281	65	1
1233	9	40	360	4.444	0.494	0.925	2.92	178	333	61	1
1234	13	84	1092	6.462	0.35	0.59	3.16	382	644	121	1
1235	10	249	2490	24.9	0.462	0.842	3.53	1151	2097	326	1
1236	38	410	15580	10.789	0.279	0.696	2.39	4341	10849	1815	1
1237	12	232	2784	19.333	0.316	0.703	2.34	879	1957	375	1
1238	12	67	804	5.583	0.376	0.751	2.99	302	604	101	1
1239	10	119	1190	11.9	0.392	0.891	2.46	467	1060	190	1
1240	12	116	1392	9.667	0.331	0.756	2.62	461	1053	176	1
1241	11	104	1144	9.455	0.377	0.779	2.57	431	891	168	1
1243	10	33	330	3.3	0.294	0.791	1.83	97	261	53	1
1244	11	101	1111	9.182	0.33	0.734	2.68	367	815	137	1
1246	9	108	972	12.0	0.364	0.794	2.15	354	772	165	1
1247	8	185	1480	23.125	0.265	0.611	1.97	392	905	199	1
1248	5	38	190	7.6	0.316	0.695	2.07	60	132	29	1
1249	7	116	812	16.571	0.309	0.676	2.2	251	549	114	1
1250	6	89	534	14.833	0.298	0.758	1.61	159	405	99	1
1251	3	27	81	9.0	0.481	0.926	1.77	39	75	22	1
1252	10	174	1740	17.4	0.278	0.733	2.02	483	1276	239	1
1253	7	17	119	2.429	0.555	0.933	2.64	66	111	25	1
1254	8	28	224	3.5	0.308	0.835	3.14	69	187	22	1
1255	8	46	368	5.75	0.291	0.886	2.23	107	326	48	1
1256	22	71	1562	3.227	0.499	0.836	10.99	780	1306	71	1
1257	10	75	750	7.5	0.451	0.86	2.84	338	645	119	1
1258	8	192	1536	24.0	0.316	0.746	1.74	485	1146	279	1
1259	8	70	560	8.75	0.464	0.988	2.36	260	553	110	1
1260	10	121	1210	12.1	0.415	0.879	2.61	502	1063	192	1
1261	9	71	639	7.889	0.352	0.897	1.97	225	573	114	1
1262	11	23	253	2.091	0.415	0.858	3.5	105	217	30	1
1263	27	115	3105	4.259	0.293	0.672	2.35	910	2087	388	1
1264	11	90	990	8.182	0.362	0.808	2.82	358	800	127	1
1265	9	71	639	7.889	0.294	0.762	2.16	188	487	87	1
1266	10	83	830	8.3	0.425	0.86	2.92	353	714	121	1
1267	8	132	1056	16.5	0.36	0.921	2.1	380	973	181	1
1268	6	101	606	16.833	0.393	0.752	1.98	238	456	120	1
1269	6	51	306	8.5	0.454	0.817	2.44	139	250	57	1
1270	6	45	270	7.5	0.456	0.967	1.64	123	261	75	1
1271	16	44	704	2.75	0.376	0.744	2.39	265	524	111	1
1272	9	35	315	3.889	0.397	0.832	1.92	125	262	65	1
1273	9	42	378	4.667	0.452	0.942	2.85	171	356	60	1
1274	11	104	1144	9.455	0.367	0.747	2.56	420	854	164	1
1275	13	414	5382	31.846	0.357	0.653	3.08	1919	3514	623	1
1276	10	181	1810	18.1	0.491	0.866	3.25	888	1567	273	1
1277	11	413	4543	37.545	0.356	0.806	2.44	1619	3662	664	1
1278	13	348	4524	26.769	0.308	0.721	2.57	1395	3262	543	1
1279	12	414	4968	34.5	0.313	0.734	2.3	1554	3646	675	1
1280	10	20	200	2.0	0.4	0.605	3.48	80	121	23	1
1281	10	413	4130	41.3	0.315	0.731	2.47	1302	3018	527	1
1282	10	51	510	5.1	0.41	0.667	3.12	209	340	67	1
1283	12	69	828	5.75	0.4	0.74	3.48	331	613	95	1
1284	10	121	1210	12.1	0.402	0.849	2.7	486	1027	180	1
1285	12	118	1416	9.833	0.35	0.778	2.98	495	1102	166	1
1286	12	105	1260	8.75	0.37	0.717	2.91	466	903	160	1
1289	10	33	330	3.3	0.282	0.839	1.82	93	277	51	1
1290	10	50	500	5.0	0.472	0.812	2.74	236	406	86	1
1291	10	98	980	9.8	0.392	0.849	2.49	384	832	154	1
1293	9	108	972	12.0	0.389	0.88	2.22	378	855	170	1
1294	14	186	2604	13.286	0.307	0.652	2.5	799	1698	319	1
1295	6	39	234	6.5	0.466	0.889	2.1	109	208	52	1
1296	6	89	534	14.833	0.403	0.82	2.03	215	438	106	1
1297	4	65	260	16.25	0.296	0.631	2.66	77	164	29	1
1298	7	389	2723	55.571	0.167	0.584	1.19	455	1591	381	1
1299	3	3	9	1.0	0.778	0.778	7.0	7	7	1	1
1300	19	45	855	2.368	0.243	0.582	3.01	208	498	69	1
1301	24	96	2304	4.0	0.208	0.504	3.18	480	1161	151	1
1302	18	79	1422	4.389	0.257	0.616	3.17	365	876	115	1
1303	24	64	1536	2.667	0.227	0.57	3.38	348	875	103	1
1304	18	48	864	2.667	0.264	0.524	4.3	228	453	53	1
1305	18	64	1152	3.556	0.261	0.705	3.24	301	812	93	1
1306	12	10	120	0.833	0.442	0.792	5.3	53	95	10	1
1307	9	35	315	3.889	0.273	0.654	1.65	86	206	52	1
1308	9	77	693	8.556	0.251	0.56	1.87	174	388	93	1
1309	9	21	189	2.333	0.302	0.614	1.9	57	116	30	1
1310	9	23	207	2.556	0.169	0.319	2.92	35	66	12	1
1311	10	26	260	2.6	0.312	0.577	2.03	81	150	40	1
1312	9	264	2376	29.333	0.261	0.612	1.99	619	1455	311	1
1314	10	197	1970	19.7	0.245	0.751	1.87	482	1479	258	1
1315	9	68	612	7.556	0.335	0.789	2.33	205	483	88	1
1320	7	55	385	7.857	0.374	0.821	2.09	144	316	69	1
1321	7	41	287	5.857	0.425	0.993	1.97	122	285	62	1
1322	8	67	536	8.375	0.392	0.724	2.31	210	388	91	1
1323	7	12	84	1.714	0.476	0.762	2.86	40	64	14	1
1324	7	26	182	3.714	0.33	0.786	2.07	60	143	29	1
1325	8	35	280	4.375	0.321	0.775	1.76	90	217	51	1
1326	10	272	2720	27.2	0.279	0.789	1.98	758	2147	382	1
1327	9	272	2448	30.222	0.269	0.696	1.93	659	1704	342	1
1330	9	271	2439	30.111	0.284	0.677	1.93	692	1651	358	1
1331	10	271	2710	27.1	0.251	0.754	1.88	679	2044	362	1
1332	10	272	2720	27.2	0.232	0.65	1.98	631	1767	319	1
1334	10	271	2710	27.1	0.249	0.704	1.89	675	1908	358	1
1335	9	271	2439	30.111	0.292	0.727	1.9	712	1774	374	1
1337	10	271	2710	27.1	0.267	0.698	1.96	724	1892	369	1
1340	9	271	2439	30.111	0.285	0.707	1.82	696	1724	382	1
1342	9	272	2448	30.222	0.277	0.67	1.86	679	1640	365	1
1344	8	271	2168	33.875	0.314	0.819	1.82	681	1775	375	1
1346	9	198	1782	22.0	0.289	0.681	1.88	515	1213	274	1
1350	7	4	28	0.571	0.286	0.357	8.0	8	10	1	1
1351	7	65	455	9.286	0.316	0.848	1.52	144	386	95	1
1352	23	271	6233	11.783	0.126	0.359	1.87	786	2239	420	1
1353	8	29	232	3.625	0.384	0.884	2.07	89	205	43	1
1354	8	7	56	0.875	0.304	0.946	1.55	17	53	11	1
1355	8	11	88	1.375	0.318	0.864	1.33	28	76	21	1
1356	8	69	552	8.625	0.279	0.687	1.5	154	379	103	1
1357	8	55	440	6.875	0.243	0.657	1.39	107	289	77	1
1358	8	240	1920	30.0	0.194	0.515	1.34	373	988	279	1
1359	7	22	154	3.143	0.156	0.519	1.6	24	80	15	1
1360	8	272	2176	34.0	0.189	0.688	1.32	411	1497	311	1
1361	8	272	2176	34.0	0.186	0.539	1.35	404	1172	299	1
1362	11	271	2981	24.636	0.177	0.588	1.49	527	1752	353	1
1363	7	213	1491	30.429	0.199	0.733	1.25	296	1093	237	1
1364	11	272	2992	24.727	0.168	0.595	1.43	504	1781	352	1
1366	8	34	272	4.25	0.309	0.908	1.5	84	247	56	1
1367	8	7	56	0.875	0.393	0.946	2.0	22	53	11	1
1368	10	15	150	1.5	0.247	0.72	1.61	37	108	23	1
1369	8	21	168	2.625	0.28	0.923	1.38	47	155	34	1
1370	8	28	224	3.5	0.299	0.969	1.6	67	217	42	1
1371	10	60	600	6.0	0.203	0.595	1.44	122	357	85	1
1372	7	12	84	1.714	0.369	0.857	1.55	31	72	20	1
1373	7	6	42	0.857	0.214	0.286	9.0	9	12	1	1
1374	7	7	49	1.0	0.367	1.0	1.38	18	49	13	1
1375	6	17	102	2.833	0.343	0.873	1.3	35	89	27	1
1379	8	54	432	6.75	0.245	0.745	1.29	106	322	82	1
1380	10	179	1790	17.9	0.2	0.758	1.41	358	1356	254	1
1382	8	25	200	3.125	0.33	1.0	1.65	66	200	40	1
1385	10	271	2710	27.1	0.197	0.748	1.38	533	2027	386	1
1386	10	271	2710	27.1	0.188	0.665	1.31	509	1803	388	1
1389	10	272	2720	27.2	0.187	0.649	1.38	508	1765	368	1
1391	10	271	2710	27.1	0.199	0.717	1.42	540	1942	381	1
1394	11	271	2981	24.636	0.198	0.628	1.52	591	1872	388	1
1397	10	272	2720	27.2	0.211	0.772	1.43	573	2101	401	1
1398	10	272	2720	27.2	0.206	0.786	1.4	559	2139	399	1
1400	7	10	70	1.429	0.286	0.886	1.82	20	62	11	1
1401	6	9	54	1.5	0.352	0.87	1.58	19	47	12	1
1402	8	10	80	1.25	0.313	0.675	1.92	25	54	13	1
1403	4	9	36	2.25	0.417	1.0	1.67	15	36	9	1
1404	8	25	200	3.125	0.28	0.825	1.6	56	165	35	1
1405	8	37	296	4.625	0.334	0.993	1.29	99	294	77	1
1406	10	51	510	5.1	0.22	0.841	1.29	112	429	87	1
1407	10	100	1000	10.0	0.212	0.702	1.45	212	702	146	1
1408	8	31	248	3.875	0.298	0.871	1.45	74	216	51	1
1409	7	5	35	0.714	0.2	0.429	7.0	7	15	1	1
1410	8	240	1920	30.0	0.193	0.635	1.4	370	1220	264	1
1411	7	11	77	1.571	0.351	0.87	1.8	27	67	15	1
1412	10	236	2360	23.6	0.183	0.572	1.31	432	1349	330	1
1413	8	135	1080	16.875	0.077	0.294	1.54	83	317	54	1
1414	8	272	2176	34.0	0.187	0.568	1.41	407	1236	288	1
1415	8	62	496	7.75	0.218	0.629	1.57	108	312	69	1
1416	7	38	266	5.429	0.308	0.789	1.55	82	210	53	1
1417	8	272	2176	34.0	0.197	0.629	1.38	428	1369	310	1
1418	10	261	2610	26.1	0.183	0.515	1.49	477	1343	321	1
1419	8	271	2168	33.875	0.217	0.786	1.29	470	1704	364	1
1420	8	245	1960	30.625	0.198	0.555	1.36	389	1088	286	1
1421	10	272	2720	27.2	0.191	0.578	1.49	520	1571	348	1
1422	11	272	2992	24.727	0.171	0.61	1.47	511	1824	348	1
1423	10	271	2710	27.1	0.173	0.557	1.47	469	1510	318	1
1424	8	108	864	13.5	0.235	0.618	1.41	203	534	144	1
1425	10	125	1250	12.5	0.19	0.526	1.39	237	657	170	1
1426	6	24	144	4.0	0.292	0.764	1.56	42	110	27	1
1427	8	37	296	4.625	0.182	0.649	1.35	54	192	40	1
1428	8	98	784	12.25	0.282	0.864	1.42	221	677	156	1
1429	10	93	930	9.3	0.206	0.794	1.48	192	738	130	1
1430	7	23	161	3.286	0.373	0.851	1.71	60	137	35	1
1431	11	271	2981	24.636	0.162	0.542	1.36	483	1616	355	1
1432	11	271	2981	24.636	0.176	0.671	1.39	525	2001	378	1
1433	8	71	568	8.875	0.238	0.701	1.47	135	398	92	1
1434	10	60	600	6.0	0.223	0.607	1.47	134	364	91	1
1435	10	47	470	4.7	0.223	0.706	1.62	105	332	65	1
1436	7	7	49	1.0	0.429	1.0	1.91	21	49	11	1
1437	7	38	266	5.429	0.327	0.951	1.38	87	253	63	1
1438	5	12	60	2.4	0.267	0.733	1.78	16	44	9	1
1439	10	234	2340	23.4	0.188	0.614	1.38	441	1437	319	1
1440	10	271	2710	27.1	0.187	0.602	1.35	508	1632	375	1
1441	11	189	2079	17.182	0.174	0.613	1.41	361	1275	256	1
1442	8	65	520	8.125	0.269	0.725	1.4	140	377	100	1
1443	10	147	1470	14.7	0.168	0.55	1.29	247	809	191	1
1444	11	271	2981	24.636	0.168	0.598	1.35	502	1784	371	1
1445	8	261	2088	32.625	0.218	0.773	1.34	455	1615	340	1
1446	10	271	2710	27.1	0.193	0.769	1.28	524	2084	409	1
1447	10	173	1730	17.3	0.09	0.375	1.52	155	649	102	1
1448	10	197	1970	19.7	0.144	0.589	1.25	284	1160	228	1
1449	9	258	2322	28.667	0.173	0.581	1.28	401	1350	313	1
1450	8	96	768	12.0	0.111	0.479	1.35	85	368	63	1
1451	10	271	2710	27.1	0.176	0.574	1.39	476	1556	342	1
1452	10	271	2710	27.1	0.193	0.693	1.37	522	1878	380	1
1453	7	48	336	6.857	0.292	0.804	1.53	98	270	64	1
1454	11	243	2673	22.091	0.117	0.342	1.41	314	914	223	1
1455	8	88	704	11.0	0.195	0.756	1.49	137	532	92	1
1456	8	78	624	9.75	0.244	0.745	1.35	152	465	113	1
1457	9	175	1575	19.444	0.19	0.568	1.35	299	894	221	1
1458	7	17	119	2.429	0.328	0.731	1.44	39	87	27	1
1459	7	14	98	2.0	0.357	0.959	1.84	35	94	19	1
1460	8	46	368	5.75	0.285	0.791	1.42	105	291	74	1
1461	9	34	306	3.778	0.225	0.755	1.57	69	231	44	1
1462	7	7	49	1.0	0.347	0.939	1.89	17	46	9	1
1463	7	11	77	1.571	0.351	0.87	1.5	27	67	18	1
1464	7	14	98	2.0	0.357	0.867	1.75	35	85	20	1
1465	7	21	147	3.0	0.313	0.966	1.48	46	142	31	1
1466	7	8	56	1.143	0.25	0.768	1.56	14	43	9	1
1467	7	29	203	4.143	0.281	0.842	1.46	57	171	39	1
1468	10	271	2710	27.1	0.168	0.612	1.29	454	1659	351	1
1469	8	71	568	8.875	0.136	0.384	1.31	77	218	59	1
1470	8	25	200	3.125	0.24	0.91	1.45	48	182	33	1
1471	9	238	2142	26.444	0.168	0.614	1.26	359	1316	285	1
1472	6	187	1122	31.167	0.188	0.591	1.26	211	663	168	1
1473	6	17	102	2.833	0.245	0.598	1.56	25	61	16	1
1474	6	15	90	2.5	0.278	0.744	1.92	25	67	13	1
1475	10	215	2150	21.5	0.133	0.464	1.2	287	997	239	1
1476	11	103	1133	9.364	0.156	0.576	1.44	177	653	123	1
1477	8	263	2104	32.875	0.154	0.549	1.19	325	1156	274	1
1478	8	15	120	1.875	0.3	0.642	1.57	36	77	23	1
1479	8	26	208	3.25	0.264	0.62	1.45	55	129	38	1
1480	2	7	14	3.5	0.5	0.929	3.5	7	13	2	1
1481	7	7	49	1.0	0.286	0.633	1.56	14	31	9	1
1482	7	30	210	4.286	0.295	0.876	1.77	62	184	35	1
1483	7	18	126	2.571	0.31	0.96	1.39	39	121	28	1
1484	8	29	232	3.625	0.207	0.651	1.6	48	151	30	1
1485	6	20	120	3.333	0.175	0.792	1.5	21	95	14	1
1486	5	18	90	3.6	0.378	0.956	1.62	34	86	21	1
1487	5	8	40	1.6	0.425	1.0	1.89	17	40	9	1
1488	5	7	35	1.4	0.4	0.657	2.33	14	23	6	1
1489	5	12	60	2.4	0.383	0.883	1.92	23	53	12	1
1490	8	126	1008	15.75	0.188	0.685	1.27	189	690	149	1
1491	8	21	168	2.625	0.262	0.696	1.52	44	117	29	1
1492	8	99	792	12.375	0.199	0.662	1.39	158	524	114	1
1493	9	81	729	9.0	0.187	0.542	1.49	136	395	91	1
1494	6	69	414	11.5	0.28	0.744	1.4	116	308	83	1
1495	8	80	640	10.0	0.184	0.544	1.4	118	348	84	1
1496	7	128	896	18.286	0.203	0.663	1.33	182	594	137	1
1497	1	10	10	10.0	0.8	1.0	4.0	8	10	2	1
1499	6	129	774	21.5	0.195	0.565	1.35	151	437	112	1
1500	5	52	260	10.4	0.208	0.542	1.35	54	141	40	1
1501	5	12	60	2.4	0.317	0.75	1.46	19	45	13	1
1502	5	21	105	4.2	0.295	0.733	1.48	31	77	21	1
1503	5	6	30	1.2	0.333	0.967	2.5	10	29	4	1
1504	5	38	190	7.6	0.426	0.989	1.42	81	188	57	1
1505	5	13	65	2.6	0.308	0.831	1.82	20	54	11	1
1506	5	6	30	1.2	0.367	0.767	3.67	11	23	3	1
1507	5	15	75	3.0	0.4	0.947	1.67	30	71	18	1
1508	5	53	265	10.6	0.223	0.611	1.28	59	162	46	1
1509	5	34	170	6.8	0.224	0.606	1.31	38	103	29	1
1510	5	30	150	6.0	0.36	0.947	1.26	54	142	43	1
1511	6	25	150	4.167	0.34	0.887	1.42	51	133	36	1
1512	6	2	12	0.333	0.583	1.0	7.0	7	12	1	1
1513	8	12	96	1.5	0.208	0.771	1.11	20	74	18	1
1514	7	14	98	2.0	0.255	0.735	1.56	25	72	16	1
1515	7	14	98	2.0	0.337	0.99	1.65	33	97	20	1
1516	7	8	56	1.143	0.357	1.0	2.86	20	56	7	1
1517	7	9	63	1.286	0.317	0.984	2.22	20	62	9	1
1518	7	4	28	0.571	0.357	0.571	5.0	10	16	2	1
1519	7	32	224	4.571	0.339	0.786	1.46	76	176	52	1
1520	9	29	261	3.222	0.234	0.709	1.3	61	185	47	1
1521	5	4	20	0.8	0.35	0.85	1.75	7	17	4	1
1522	5	8	40	1.6	0.425	0.975	1.55	17	39	11	1
1523	4	11	44	2.75	0.364	0.955	1.33	16	42	12	1
1524	6	50	300	8.333	0.213	0.577	1.31	64	173	49	1
1525	6	28	168	4.667	0.149	0.375	1.47	25	63	17	1
1526	5	43	215	8.6	0.233	0.8	1.35	50	172	37	1
1527	5	75	375	15.0	0.259	0.867	1.18	97	325	82	1
1528	4	18	72	4.5	0.333	0.667	1.71	24	48	14	1
1529	9	16	144	1.778	0.222	0.479	1.33	32	69	24	1
1530	10	79	790	7.9	0.163	0.42	1.25	129	332	103	1
1531	9	158	1422	17.556	0.217	0.535	1.45	308	761	212	1
1534	4	6	24	1.5	0.333	0.792	2.0	8	19	4	1
1535	6	49	294	8.167	0.241	0.633	1.42	71	186	50	1
1536	6	32	192	5.333	0.292	0.698	1.37	56	134	41	1
1537	7	37	259	5.286	0.243	0.71	1.34	63	184	47	1
1538	6	19	114	3.167	0.254	0.956	1.16	29	109	25	1
1539	6	28	168	4.667	0.292	0.875	1.29	49	147	38	1
1540	6	12	72	2.0	0.319	0.653	2.09	23	47	11	1
1541	4	28	112	7.0	0.455	1.0	1.27	51	112	40	1
1543	14	29	406	2.071	0.14	0.502	1.63	57	204	35	1
1545	10	12	120	1.2	0.183	0.392	2.2	22	47	10	1
1546	9	16	144	1.778	0.16	0.5	1.92	23	72	12	1
1547	9	16	144	1.778	0.208	0.542	2.14	30	78	14	1
1548	8	11	88	1.375	0.159	0.477	1.75	14	42	8	1
1549	7	27	189	3.857	0.164	0.397	2.58	31	75	12	1
1550	6	6	36	1.0	0.306	0.556	3.67	11	20	3	1
1551	6	13	78	2.167	0.295	0.897	1.64	23	70	14	1
1552	7	41	287	5.857	0.209	0.652	1.36	60	187	44	1
1553	7	41	287	5.857	0.22	0.756	1.47	63	217	43	1
1554	6	7	42	1.167	0.405	0.833	1.89	17	35	9	1
1555	6	13	78	2.167	0.295	0.872	1.44	23	68	16	1
1556	6	41	246	6.833	0.232	0.927	1.3	57	228	44	1
1557	6	40	240	6.667	0.221	0.983	1.26	53	236	42	1
1558	6	7	42	1.167	0.31	0.786	1.86	13	33	7	1
1559	4	12	48	3.0	0.146	1.0	1.0	7	48	7	1
1560	7	41	287	5.857	0.213	0.861	1.33	61	247	46	1
1561	6	40	240	6.667	0.313	0.996	1.27	75	239	59	1
1562	1	12	12	12.0	0.583	1.0	1.75	7	12	4	1
1563	6	11	66	1.833	0.333	0.803	1.69	22	53	13	1
1564	4	12	48	3.0	0.292	1.0	1.4	14	48	10	1
1565	6	41	246	6.833	0.224	0.85	1.2	55	209	46	1
1566	7	40	280	5.714	0.229	0.686	1.28	64	192	50	1
1567	9	23	207	2.556	0.213	0.507	1.57	44	105	28	1
1568	9	23	207	2.556	0.246	0.57	1.82	51	118	28	1
1569	8	17	136	2.125	0.265	0.566	1.71	36	77	21	1
1570	7	37	259	5.286	0.301	0.691	1.81	78	179	43	1
1571	7	54	378	7.714	0.267	0.619	1.42	101	234	71	1
1572	5	32	160	6.4	0.431	0.988	1.47	69	158	47	1
1573	5	13	65	2.6	0.415	0.938	1.69	27	61	16	1
1574	6	17	102	2.833	0.255	0.745	1.18	26	76	22	1
1575	6	13	78	2.167	0.308	0.872	1.6	24	68	15	1
1576	6	14	84	2.333	0.274	0.893	1.64	23	75	14	1
1577	6	14	84	2.333	0.274	0.929	1.28	23	78	18	1
1578	6	17	102	2.833	0.382	0.951	1.63	39	97	24	1
1579	5	13	65	2.6	0.262	0.692	1.42	17	45	12	1
1580	5	13	65	2.6	0.246	0.831	1.33	16	54	12	1
1581	4	14	56	3.5	0.268	0.732	1.67	15	41	9	1
1582	6	24	144	4.0	0.257	0.771	1.42	37	111	26	1
1583	6	13	78	2.167	0.282	0.936	1.57	22	73	14	1
1584	7	41	287	5.857	0.185	0.638	1.51	53	183	35	1
1585	7	41	287	5.857	0.226	0.784	1.48	65	225	44	1
1588	10	12	120	1.2	0.225	0.558	2.7	27	67	10	1
1589	9	21	189	2.333	0.175	0.513	1.65	33	97	20	1
1590	9	15	135	1.667	0.178	0.556	1.6	24	75	15	1
1591	9	17	153	1.889	0.183	0.529	1.75	28	81	16	1
1592	10	19	190	1.9	0.142	0.326	3.0	27	62	9	1
1593	10	12	120	1.2	0.142	0.317	2.83	17	38	6	1
1594	8	16	128	2.0	0.242	0.602	1.94	31	77	16	1
1595	7	16	112	2.286	0.25	0.527	2.0	28	59	14	1
1597	3	9	27	3.0	0.296	1.0	1.33	8	27	6	1
1598	10	58	580	5.8	0.081	0.224	1.62	47	130	29	1
1599	7	182	1274	26.0	0.203	0.62	1.27	259	790	204	1
1600	9	73	657	8.111	0.174	0.434	1.44	114	285	79	1
1601	9	107	963	11.889	0.204	0.683	1.42	196	658	138	1
1602	9	18	162	2.0	0.278	0.716	1.67	45	116	27	1
1603	7	125	875	17.857	0.27	0.858	1.4	236	751	168	1
1604	10	53	530	5.3	0.215	0.781	1.44	114	414	79	1
1605	8	43	344	5.375	0.212	0.721	1.4	73	248	52	1
1606	7	8	56	1.143	0.375	0.964	1.62	21	54	13	1
1607	8	30	240	3.75	0.233	0.833	1.24	56	200	45	1
