	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
46	7.7	0.935	0.43	2.2	0.114	22.0	114.0	0.997	3.25	0.73	9.2	1
47	8.7	0.29	0.52	1.6	0.113	12.0	37.0	0.9969	3.25	0.58	9.5	1
48	6.4	0.4	0.23	1.6	0.066	5.0	12.0	0.9958	3.34	0.56	9.2	1
49	5.6	0.31	0.37	1.4	0.074	12.0	96.0	0.9954	3.32	0.58	9.2	1
50	8.8	0.66	0.26	1.7	0.074	4.0	23.0	0.9971	3.15	0.74	9.2	1
51	6.6	0.52	0.04	2.2	0.069	8.0	15.0	0.9956	3.4	0.63	9.4	1
52	6.6	0.5	0.04	2.1	0.068	6.0	14.0	0.9955	3.39	0.64	9.4	1
53	8.6	0.38	0.36	3.0	0.081	30.0	119.0	0.997	3.2	0.56	9.4	1
54	7.6	0.51	0.15	2.8	0.11	33.0	73.0	0.9955	3.17	0.63	10.2	1
55	7.7	0.62	0.04	3.8	0.084	25.0	45.0	0.9978	3.34	0.53	9.5	1
56	10.2	0.42	0.57	3.4	0.07	4.0	10.0	0.9971	3.04	0.63	9.6	1
57	7.5	0.63	0.12	5.1	0.111	50.0	110.0	0.9983	3.26	0.77	9.4	1
58	7.8	0.59	0.18	2.3	0.076	17.0	54.0	0.9975	3.43	0.59	10.0	1
59	7.3	0.39	0.31	2.4	0.074	9.0	46.0	0.9962	3.41	0.54	9.4	1
60	8.8	0.4	0.4	2.2	0.079	19.0	52.0	0.998	3.44	0.64	9.2	1
61	7.7	0.69	0.49	1.8	0.115	20.0	112.0	0.9968	3.21	0.71	9.3	1
63	7.0	0.735	0.05	2.0	0.081	13.0	54.0	0.9966	3.39	0.57	9.8	1
64	7.2	0.725	0.05	4.65	0.086	4.0	11.0	0.9962	3.41	0.39	10.9	1
65	7.2	0.725	0.05	4.65	0.086	4.0	11.0	0.9962	3.41	0.39	10.9	1
66	7.5	0.52	0.11	1.5	0.079	11.0	39.0	0.9968	3.42	0.58	9.6	1
67	6.6	0.705	0.07	1.6	0.076	6.0	15.0	0.9962	3.44	0.58	10.7	1
68	9.3	0.32	0.57	2.0	0.074	27.0	65.0	0.9969	3.28	0.79	10.7	1
69	8.0	0.705	0.05	1.9	0.074	8.0	19.0	0.9962	3.34	0.95	10.5	1
70	7.7	0.63	0.08	1.9	0.076	15.0	27.0	0.9967	3.32	0.54	9.5	1
71	7.7	0.67	0.23	2.1	0.088	17.0	96.0	0.9962	3.32	0.48	9.5	1
72	7.7	0.69	0.22	1.9	0.084	18.0	94.0	0.9961	3.31	0.48	9.5	1
73	8.3	0.675	0.26	2.1	0.084	11.0	43.0	0.9976	3.31	0.53	9.2	1
74	9.7	0.32	0.54	2.5	0.094	28.0	83.0	0.9984	3.28	0.82	9.6	1
75	8.8	0.41	0.64	2.2	0.093	9.0	42.0	0.9986	3.54	0.66	10.5	1
76	8.8	0.41	0.64	2.2	0.093	9.0	42.0	0.9986	3.54	0.66	10.5	1
77	6.8	0.785	0.0	2.4	0.104	14.0	30.0	0.9966	3.52	0.55	10.7	1
78	6.7	0.75	0.12	2.0	0.086	12.0	80.0	0.9958	3.38	0.52	10.1	1
79	8.3	0.625	0.2	1.5	0.08	27.0	119.0	0.9972	3.16	1.12	9.1	1
80	6.2	0.45	0.2	1.6	0.069	3.0	15.0	0.9958	3.41	0.56	9.2	1
81	7.8	0.43	0.7	1.9	0.464	22.0	67.0	0.9974	3.13	1.28	9.4	1
82	7.4	0.5	0.47	2.0	0.086	21.0	73.0	0.997	3.36	0.57	9.1	1
83	7.3	0.67	0.26	1.8	0.401	16.0	51.0	0.9969	3.16	1.14	9.4	1
84	6.3	0.3	0.48	1.8	0.069	18.0	61.0	0.9959	3.44	0.78	10.3	1
85	6.9	0.55	0.15	2.2	0.076	19.0	40.0	0.9961	3.41	0.59	10.1	1
86	8.6	0.49	0.28	1.9	0.11	20.0	136.0	0.9972	2.93	1.95	9.9	1
87	7.7	0.49	0.26	1.9	0.062	9.0	31.0	0.9966	3.39	0.64	9.6	1
88	9.3	0.39	0.44	2.1	0.107	34.0	125.0	0.9978	3.14	1.22	9.5	1
89	7.0	0.62	0.08	1.8	0.076	8.0	24.0	0.9978	3.48	0.53	9.0	1
90	7.9	0.52	0.26	1.9	0.079	42.0	140.0	0.9964	3.23	0.54	9.5	1
91	8.6	0.49	0.28	1.9	0.11	20.0	136.0	0.9972	2.93	1.95	9.9	1
92	8.6	0.49	0.29	2.0	0.11	19.0	133.0	0.9972	2.93	1.98	9.8	1
93	7.7	0.49	0.26	1.9	0.062	9.0	31.0	0.9966	3.39	0.64	9.6	1
94	5.0	1.02	0.04	1.4	0.045	41.0	85.0	0.9938	3.75	0.48	10.5	1
95	4.7	0.6	0.17	2.3	0.058	17.0	106.0	0.9932	3.85	0.6	12.9	1
96	6.8	0.775	0.0	3.0	0.102	8.0	23.0	0.9965	3.45	0.56	10.7	1
97	7.0	0.5	0.25	2.0	0.07	3.0	22.0	0.9963	3.25	0.63	9.2	1
98	7.6	0.9	0.06	2.5	0.079	5.0	10.0	0.9967	3.39	0.56	9.8	1
99	8.1	0.545	0.18	1.9	0.08	13.0	35.0	0.9972	3.3	0.59	9.0	1
100	8.3	0.61	0.3	2.1	0.084	11.0	50.0	0.9972	3.4	0.61	10.2	1
101	7.8	0.5	0.3	1.9	0.075	8.0	22.0	0.9959	3.31	0.56	10.4	1
102	8.1	0.545	0.18	1.9	0.08	13.0	35.0	0.9972	3.3	0.59	9.0	1
103	8.1	0.575	0.22	2.1	0.077	12.0	65.0	0.9967	3.29	0.51	9.2	1
104	7.2	0.49	0.24	2.2	0.07	5.0	36.0	0.996	3.33	0.48	9.4	1
105	8.1	0.575	0.22	2.1	0.077	12.0	65.0	0.9967	3.29	0.51	9.2	1
106	7.8	0.41	0.68	1.7	0.467	18.0	69.0	0.9973	3.08	1.31	9.3	1
107	6.2	0.63	0.31	1.7	0.088	15.0	64.0	0.9969	3.46	0.79	9.3	1
108	8.0	0.33	0.53	2.5	0.091	18.0	80.0	0.9976	3.37	0.8	9.6	1
109	8.1	0.785	0.52	2.0	0.122	37.0	153.0	0.9969	3.21	0.69	9.3	1
110	7.8	0.56	0.19	1.8	0.104	12.0	47.0	0.9964	3.19	0.93	9.5	1
111	8.4	0.62	0.09	2.2	0.084	11.0	108.0	0.9964	3.15	0.66	9.8	1
112	8.4	0.6	0.1	2.2	0.085	14.0	111.0	0.9964	3.15	0.66	9.8	1
113	10.1	0.31	0.44	2.3	0.08	22.0	46.0	0.9988	3.32	0.67	9.7	1
114	7.8	0.56	0.19	1.8	0.104	12.0	47.0	0.9964	3.19	0.93	9.5	1
115	9.4	0.4	0.31	2.2	0.09	13.0	62.0	0.9966	3.07	0.63	10.5	1
116	8.3	0.54	0.28	1.9	0.077	11.0	40.0	0.9978	3.39	0.61	10.0	1
117	7.8	0.56	0.12	2.0	0.082	7.0	28.0	0.997	3.37	0.5	9.4	1
118	8.8	0.55	0.04	2.2	0.119	14.0	56.0	0.9962	3.21	0.6	10.9	1
119	7.0	0.69	0.08	1.8	0.097	22.0	89.0	0.9959	3.34	0.54	9.2	1
120	7.3	1.07	0.09	1.7	0.178	10.0	89.0	0.9962	3.3	0.57	9.0	1
121	8.8	0.55	0.04	2.2	0.119	14.0	56.0	0.9962	3.21	0.6	10.9	1
122	7.3	0.695	0.0	2.5	0.075	3.0	13.0	0.998	3.49	0.52	9.2	1
123	8.0	0.71	0.0	2.6	0.08	11.0	34.0	0.9976	3.44	0.53	9.5	1
124	7.8	0.5	0.17	1.6	0.082	21.0	102.0	0.996	3.39	0.48	9.5	1
125	9.0	0.62	0.04	1.9	0.146	27.0	90.0	0.9984	3.16	0.7	9.4	1
126	8.2	1.33	0.0	1.7	0.081	3.0	12.0	0.9964	3.53	0.49	10.9	1
127	8.1	1.33	0.0	1.8	0.082	3.0	12.0	0.9964	3.54	0.48	10.9	1
129	6.1	0.38	0.15	1.8	0.072	6.0	19.0	0.9955	3.42	0.57	9.4	1
130	8.0	0.745	0.56	2.0	0.118	30.0	134.0	0.9968	3.24	0.66	9.4	1
131	5.6	0.5	0.09	2.3	0.049	17.0	99.0	0.9937	3.63	0.63	13.0	1
132	5.6	0.5	0.09	2.3	0.049	17.0	99.0	0.9937	3.63	0.63	13.0	1
133	6.6	0.5	0.01	1.5	0.06	17.0	26.0	0.9952	3.4	0.58	9.8	1
134	7.9	1.04	0.05	2.2	0.084	13.0	29.0	0.9959	3.22	0.55	9.9	1
135	8.4	0.745	0.11	1.9	0.09	16.0	63.0	0.9965	3.19	0.82	9.6	1
136	8.3	0.715	0.15	1.8	0.089	10.0	52.0	0.9968	3.23	0.77	9.5	1
137	7.2	0.415	0.36	2.0	0.081	13.0	45.0	0.9972	3.48	0.64	9.2	1
138	7.8	0.56	0.19	2.1	0.081	15.0	105.0	0.9962	3.33	0.54	9.5	1
139	7.8	0.56	0.19	2.0	0.081	17.0	108.0	0.9962	3.32	0.54	9.5	1
140	8.4	0.745	0.11	1.9	0.09	16.0	63.0	0.9965	3.19	0.82	9.6	1
141	8.3	0.715	0.15	1.8	0.089	10.0	52.0	0.9968	3.23	0.77	9.5	1
142	5.2	0.34	0.0	1.8	0.05	27.0	63.0	0.9916	3.68	0.79	14.0	1
143	6.3	0.39	0.08	1.7	0.066	3.0	20.0	0.9954	3.34	0.58	9.4	1
144	5.2	0.34	0.0	1.8	0.05	27.0	63.0	0.9916	3.68	0.79	14.0	1
7	7.3	0.65	0.0	1.2	0.065	15.0	21.0	0.9946	3.39	0.47	10.0	0
8	7.8	0.58	0.02	2.0	0.073	9.0	18.0	0.9968	3.36	0.57	9.5	0
16	8.5	0.28	0.56	1.8	0.092	35.0	103.0	0.9969	3.3	0.75	10.5	0
37	8.1	0.38	0.28	2.1	0.066	13.0	30.0	0.9968	3.23	0.73	9.7	0
62	7.5	0.52	0.16	1.9	0.085	12.0	35.0	0.9968	3.38	0.62	9.5	0
128	8.0	0.59	0.16	1.8	0.065	3.0	16.0	0.9962	3.42	0.92	10.5	0
198	5.4	0.835	0.08	1.2	0.046	13.0	93.0	0.9924	3.57	0.85	13.0	0
200	9.6	0.32	0.47	1.4	0.056	9.0	24.0	0.99695	3.22	0.82	10.3	0
205	12.8	0.3	0.74	2.6	0.095	9.0	28.0	0.9994	3.2	0.77	10.8	0
206	12.8	0.3	0.74	2.6	0.095	9.0	28.0	0.9994	3.2	0.77	10.8	0
209	11.0	0.3	0.58	2.1	0.054	7.0	19.0	0.998	3.31	0.88	10.5	0
230	5.2	0.48	0.04	1.6	0.054	19.0	106.0	0.9927	3.54	0.62	12.2	0
243	15.0	0.21	0.44	2.2	0.075	10.0	24.0	1.00005	3.07	0.84	9.2	0
244	15.0	0.21	0.44	2.2	0.075	10.0	24.0	1.00005	3.07	0.84	9.2	0
259	10.0	0.31	0.47	2.6	0.085	14.0	33.0	0.99965	3.36	0.8	10.5	0
265	11.8	0.26	0.52	1.8	0.071	6.0	10.0	0.9968	3.2	0.72	10.2	0
267	7.9	0.35	0.46	3.6	0.078	15.0	37.0	0.9973	3.35	0.86	12.8	0
278	10.3	0.32	0.45	6.4	0.073	5.0	13.0	0.9976	3.23	0.82	12.6	0
279	8.9	0.4	0.32	5.6	0.087	10.0	47.0	0.9991	3.38	0.77	10.5	0
281	7.7	0.27	0.68	3.5	0.358	5.0	10.0	0.9972	3.25	1.08	9.9	0
283	8.9	0.4	0.32	5.6	0.087	10.0	47.0	0.9991	3.38	0.77	10.5	0
288	8.7	0.52	0.09	2.5	0.091	20.0	49.0	0.9976	3.34	0.86	10.6	0
